"COUNTY","AWARDED"
"Weld","104337885.02"
"Multi","346340.00"
"Adams","12779264.91"
"Mesa","87472581.69"
"Montrose","12175233.24"
"Prowers","2594843.06"
"Huerfano","4573657.47"
"Eagle","4146719.29"
"Park","2130276.31"
"Garfield","98727345.59"
"Jackson","1398933.43"
"Grand","8046353.80"
"Chaffee","7081647.97"
"Teller","8064837.25"
"Elbert","1734013.62"
"Clear Creek","6638297.46"
"Hinsdale","2254543.09"
"Delta","28016868.45"
"Ouray","4697218.50"
"Montezuma","32572128.68"
"Lake","4182974.17"
"Rio Grande","3491888.08"
"Alamosa","3354553.56"
"Baca","751554.48"
"Pitkin","1401928.64"
"Larimer","14757454.59"
"Kit Carson","3098847.23"
"Kiowa","1739769.49"
"Summit","3982385.94"
"Yuma","8701206.44"
"Crowley","250589.14"
"Las Animas","23564669.82"
"El Paso","6970170.79"
"Costilla","1387455.77"
"Boulder","11801973.69"
"Rio Blanco","61063263.99"
"Routt","17262209.62"
"Morgan","6531478.07"
"San Miguel","6031156.23"
"La Plata","32230815.49"
"Archuleta","6154413.40"
"Fremont","5810415.09"
"Conejos","1606403.41"
"Arapahoe","2418568.01"
"Saguache","1627150.01"
"Mineral","931764.27"
"Bent","4434107.09"
"Custer","268824.05"
"Otero","2395646.34"
"Gunnison","16313575.61"
"Moffat","28095583.40"
"Douglas","1900746.14"
"Jefferson","5030068.16"
"Phillips","915730.22"
"Pueblo","5853755.23"
"Sedgwick","458380.04"
"Cheyenne","1485000.74"
"Gilpin","619650.52"
"Logan","3074977.90"
"Dolores","6130182.04"
"San Juan","1758791.90"
"Washington","568303.74"
"Statewide","7458842.00"
"Lincoln","967068.39"
"Denver","5519550.90"
"Region 13","18500.00"
"Broomfield","714512.17"
